customer_id,name,phone,email,address,credit_balance
1,Raju Adhikari,+977-9815108603,,"Budhanilkantha-6, Pokhara",1589.13
2,Sunil Joshi,+977-9809478454,suniljoshi@mail.com,"Lazimpat-29, Butwal",40471.52
3,Ram Bista,+977-9868090293,ram.bista@outlook.com,"Balaju-25, Bhaktapur",0.0
4,Tara Chaudhary,+977-9811728977,tarachaudhary@hotmail.com,"Kalimati-19, Damak",30925.99
5,Yogesh Devkota,+977-9802166941,,"Kalanki-6, Itahari",43324.18
6,Kopila Sapkota,+977-9757120868,,"Sukedhara-18, Dharan",34177.38
7,Sarita Chaudhary,+977-9869961380,sarita.chaudhary@outlook.com,"Thankot-15, Damak",42142.6
8,Bishnu Poudel,+977-9846292423,bishnu.poudel@mail.com,"Sundarijal-14, Janakpur",19781.6
9,Madan Magar,+977-9813342608,,"Boudha-17, Damak",21421.69
10,Radha KC,+977-9824679591,radha.kc94@gmail.com,"Balaju-11, Biratnagar",21108.0
11,Durga Karki,+977-9748852574,durgakarki12@gmail.com,"Godawari-18, Damak",17008.77
12,Sabina Lamichhane,+977-9868612220,,"Budhanilkantha-12, Hetauda",5320.54
13,Bibek Yadav,+977-9764337174,,"Kapan-1, Birgunj",24430.29
14,Raju Bhandari,+977-9815017343,,"Swayambhu-6, Bhaktapur",40801.16
15,Tek Raut,+977-9863154051,tekraut@mail.com,"Kirtipur-14, Bharatpur",37763.26
16,Mahesh Lama,+977-9817693979,maheshlama@mail.com,"Putalisadak-16, Pokhara",0.0
17,Sabin Adhikari,+977-9764860684,sabin.adhikari@gmail.com,"Kalanki-3, Bhaktapur",3542.87
18,Prakash Sapkota,+977-9754594297,prakashsapkota585@mail.com,"Naxal-31, Butwal",9520.5
19,Anita Mishra,+977-9746944126,anita_mishra56@gmail.com,"New Baneshwor-22, Dhangadhi",5463.45
20,Rajesh Pradhan,+977-9768526486,,"Jorpati-30, Hetauda",0.0
21,Sarita Neupane,+977-9762642635,,"Boudha-6, Kathmandu",42434.79
22,Deepak Oli,+977-9759075854,,"Maharajgunj-11, Lalitpur",0.0
23,Ramesh Bhattarai,+977-9755785687,rameshbhattarai570@hotmail.com,"Chabahil-19, Dharan",0.0
24,Bishnu Sitaula,+977-9762022698,bishnu.sitaula@hotmail.com,"Gongabu-11, Siddharthanagar",0.0
25,Narayan Gurung,+977-9862149597,narayangurung414@gmail.com,"Swayambhu-3, Butwal",20961.25
26,Radha Devkota,+977-9766307805,radha.devkota322@yahoo.com,"Satdobato-9, Dhangadhi",14999.85
27,Arun Bista,+977-9851156287,arunbista76@mail.com,"Koteshwor-17, Siddharthanagar",0.0
28,Tara Thapa,+977-9807199635,,"Putalisadak-20, Damak",49361.65
29,Prem Sharma,+977-9766022741,prem.sharma138@outlook.com,"Balaju-10, Pokhara",0.0
30,Janaki Joshi,+977-9824415796,janaki_joshi258@gmail.com,"Kalimati-18, Bharatpur",0.0
31,Indra Raut,+977-9865394880,,"Putalisadak-28, Damak",5593.69
32,Santosh Pant,+977-9847194416,santosh.pant@gmail.com,"Lagankhel-3, Nepalgunj",10503.83
33,Binita Mishra,+977-9856933742,binita_mishra768@yahoo.com,"Kalanki-12, Birgunj",1239.32
34,Indra Oli,+977-9805476257,,"Sundarijal-25, Pokhara",42929.66
35,Suman Pradhan,+977-9756866294,suman.pradhan@yahoo.com,"Maharajgunj-18, Janakpur",48344.46
36,Nirmala Khadka,+977-9767705490,nirmalakhadka@gmail.com,"Balaju-12, Hetauda",49177.53
37,Gita Tamang,+977-9746799667,gita_tamang@mail.com,"Balaju-13, Dhangadhi",0.0
38,Sandip Sharma,+977-9764305700,sandip.sharma943@outlook.com,"Kirtipur-8, Janakpur",15016.11
39,Puja Mishra,+977-9746472441,puja_mishra197@hotmail.com,"Godawari-12, Dhangadhi",15047.49
40,Dev Sharma,+977-9815813613,,"Swayambhu-21, Lahan",0.0
41,Kiran Tiwari,+977-9809576076,kirantiwari@gmail.com,"Lagankhel-22, Siddharthanagar",0.0
42,Prakash Tiwari,+977-9814768844,prakash.tiwari@yahoo.com,"Naxal-5, Lahan",0.0
