employee_id,name,department,position,attendance,salary,phone,email,hired_date
1,Puspa Mishra,Customer Service,Officer,True,27825.26,+977-9825627852,puspa.mishra@gmail.com,2024-10-10
2,Madan Giri,Management,Assistant Manager,True,38615.63,+977-9827825910,madan_giri78@mail.com,2024-07-09
3,Gita Pokhrel,Management,Cashier,True,15925.66,+977-9806660179,gita_pokhrel403@gmail.com,2023-11-19
4,Puja Budathoki,Customer Service,Guard,True,13746.24,+977-9817580349,puja_budathoki@gmail.com,2024-05-10
5,Dil Dhakal,Logistics,Trainee,True,8943.06,+977-9827912176,dil_dhakal794@hotmail.com,2024-08-15
6,Sabin Shrestha,Sales,Supervisor,True,28894.85,+977-9743209540,sabin.shrestha@yahoo.com,2023-02-22
7,Bishnu Dhakal,Management,Executive,True,20636.59,+977-9866914346,bishnu.dhakal@gmail.com,2024-12-09
8,Saraswati Regmi,IT,Cashier,True,23010.88,+977-9827379926,saraswatiregmi695@mail.com,2023-09-10
9,Radha Maharjan,IT,Senior Executive,True,33557.72,+977-9768221718,radha.maharjan729@hotmail.com,2023-10-10
10,Yogesh Mandal,HR,Guard,True,13622.9,+977-9757442817,yogesh.mandal@mail.com,2021-02-26
11,Gopal Rijal,IT,Guard,True,13929.6,+977-9745621632,gopal_rijal264@outlook.com,2022-04-13
12,Kamala Mandal,HR,Supervisor,True,24578.15,+977-9859150367,kamala_mandal@outlook.com,2025-02-14
13,Lok Chaudhary,Sales,Manager,False,58225.9,+977-9829025432,lokchaudhary@outlook.com,2021-12-23
14,Kamal Shrestha,Accounts,Manager,True,65547.54,+977-9752295350,kamalshrestha@outlook.com,2024-01-19
15,Sunil Koirala,Management,Delivery Person,True,14144.87,+977-9754508958,sunilkoirala@mail.com,2024-12-24
16,Ganesh Pandey,Accounts,Executive,False,22157.18,+977-9861977825,ganeshpandey451@outlook.com,2022-01-02
17,Prabha Pandey,IT,Guard,False,14752.67,+977-9803671099,prabha_pandey@gmail.com,2020-08-21
18,Ram Dahal,Logistics,Supervisor,False,31898.41,+977-9824381846,ram_dahal@hotmail.com,2020-04-14
19,Roshan Khadka,Logistics,Assistant Manager,True,37985.63,+977-9863242812,roshan_khadka896@outlook.com,2023-08-17
20,Sarita Sapkota,IT,Trainee,True,8893.11,+977-9856323179,saritasapkota@yahoo.com,2023-12-19
21,Prakash Ghimire,Inventory,Accountant,True,35368.73,+977-9848324327,prakash.ghimire645@outlook.com,2022-01-12
22,Bhim Karki,Management,Trainee,False,13090.85,+977-9805307073,bhimkarki316@hotmail.com,2021-05-17
23,Sabina Koirala,Sales,Manager,True,74708.76,+977-9817935802,sabina.koirala@hotmail.com,2022-07-05
24,Rekha Bhattarai,IT,Assistant Manager,True,48674.5,+977-9746041496,rekha.bhattarai212@mail.com,2023-05-29
25,Mina Mishra,Logistics,Officer,True,19379.13,+977-9826190080,mina.mishra@hotmail.com,2022-03-25
26,Ramesh Shah,HR,Delivery Person,True,16632.91,+977-9864760809,ramesh.shah@mail.com,2023-09-17
27,Laxmi Shrestha,Accounts,Senior Executive,True,31326.09,+977-9742942359,laxmishrestha933@outlook.com,2024-08-28
28,Bijay KC,Logistics,Helper,True,14115.12,+977-9762096721,bijay_kc555@hotmail.com,2024-01-28
29,Tek Koirala,Sales,Senior Executive,True,25151.52,+977-9801210422,tek.koirala585@hotmail.com,2022-12-02
30,Rajesh Karki,Sales,Accountant,True,32277.29,+977-9764737501,rajesh.karki453@hotmail.com,2021-11-29
31,Asha Regmi,Customer Service,Clerk,True,15335.25,+977-9829247498,asha_regmi33@yahoo.com,2020-02-07
32,Puja Pradhan,HR,Clerk,True,16606.7,+977-9847520720,puja.pradhan@outlook.com,2020-06-16
33,Sunita Oli,Sales,Trainee,True,9707.09,+977-9743949447,sunita_oli@outlook.com,2023-01-25
34,Asha Khadka,Management,Helper,True,12051.15,+977-9862823407,ashakhadka@gmail.com,2022-12-31
35,Nirmala Devkota,Accounts,Clerk,True,16291.92,+977-9802833402,nirmala.devkota@gmail.com,2022-12-31
36,Mahesh Sharma,HR,Driver,True,20417.09,+977-9745573692,mahesh.sharma697@yahoo.com,2023-05-16
37,Radha Bhandari,HR,Helper,True,11588.11,+977-9829394222,radha.bhandari@gmail.com,2020-04-28
38,Hari Dahal,Customer Service,Trainee,True,9807.28,+977-9847995435,hari.dahal@hotmail.com,2022-05-06
39,Bibek Lamichhane,Accounts,Officer,True,19393.33,+977-9768660208,bibek.lamichhane@hotmail.com,2020-07-31
40,Tek Adhikari,Logistics,Manager,True,65341.86,+977-9802851341,tek.adhikari@gmail.com,2025-05-22
41,Rajesh Lamichhane,Sales,Helper,True,12069.19,+977-9859457187,rajeshlamichhane@mail.com,2021-12-11
42,Prabha Maharjan,Customer Service,Clerk,True,16922.01,+977-9769908935,prabha_maharjan625@hotmail.com,2023-07-11
43,Saroj Sharma,Customer Service,Senior Executive,True,31493.65,+977-9764557673,sarojsharma688@yahoo.com,2023-04-08
44,Kiran Sitaula,Inventory,Guard,True,16219.66,+977-9803136364,kiran_sitaula538@yahoo.com,2021-05-25
45,Kamala Acharya,Customer Service,Trainee,True,8819.06,+977-9759569960,kamala_acharya904@outlook.com,2022-07-08
46,Sarita Oli,Customer Service,Assistant Manager,True,32418.02,+977-9863874127,sarita_oli@gmail.com,2025-03-16
47,Prakash Adhikari,HR,Officer,True,25008.63,+977-9827920042,prakashadhikari@gmail.com,2025-03-19
48,Kamala Bista,Accounts,Cashier,True,15970.37,+977-9749853371,kamala.bista746@mail.com,2024-04-30
49,Bibek Pokhrel,IT,Clerk,True,14120.72,+977-9824199841,bibek.pokhrel717@hotmail.com,2020-03-29
50,Bal Lama,Accounts,Cashier,True,18140.63,+977-9805345307,bal.lama62@outlook.com,2021-06-09
51,Binod Tamang,Inventory,Driver,True,16388.17,+977-9802019979,binod_tamang@outlook.com,2023-04-17
52,Anita Singh,Sales,Accountant,False,22126.76,+977-9848819271,anitasingh@gmail.com,2020-12-02
53,Hari Shrestha,HR,Guard,True,15450.64,+977-9809905071,hari_shrestha@mail.com,2022-04-11
54,Suresh Pandey,Logistics,Helper,True,13557.89,+977-9824438689,suresh.pandey67@hotmail.com,2024-04-17
55,Janaki Ghimire,Inventory,Delivery Person,True,15185.44,+977-9818325859,janaki_ghimire@mail.com,2020-08-23
56,Narayan Tiwari,Customer Service,Accountant,True,26200.38,+977-9867404313,narayan.tiwari@yahoo.com,2021-03-05
57,Yogesh Sitaula,IT,Trainee,False,14895.19,+977-9827919694,yogeshsitaula@mail.com,2023-08-09
58,Meena Subedi,Management,Clerk,True,17554.13,+977-9845615990,meenasubedi298@yahoo.com,2021-06-02
59,Ram Oli,IT,Officer,True,23243.89,+977-9803704314,ram.oli712@outlook.com,2025-03-27
60,Deepak Pant,HR,Intern,True,7003.26,+977-9858473964,deepakpant644@gmail.com,2021-03-22
61,Bishnu Singh,Customer Service,Intern,False,11359.93,+977-9764468539,bishnusingh@gmail.com,2023-07-02
62,Bijay Oli,IT,Senior Executive,True,35536.11,+977-9808369802,bijayoli19@gmail.com,2022-03-12
63,Basanta Magar,Sales,Accountant,False,23973.75,+977-9844687022,basanta.magar@hotmail.com,2023-08-30
